from_postcode,BR68ND,CR77YE,E111NR,E11FR,E138SL,E96SR,EN53DJ,HA13UJ,KT27QB,N181QX,NW12BU,NW32QG,RM70AG,SE136LH,SE17EH,SE59RS,SM51AA,SW109NH,SW170QT,TW76AF,UB83NN,W68RF
Barking and Dagenham 004D,45.1619,35.1491,14.3934,18.1482,11.6816,19.2955,33.376,44.4318,39.5297,20.86,24.9277,28.161,4.0677,23.5718,23.5718,26.075,37.548,28.5782,32.5416,51.3156,56.6349,30.7685
Barking and Dagenham 004E,44.7447,35.3577,13.4547,18.3568,11.8902,18.4611,32.5416,43.5974,39.7383,20.0256,25.2406,35.6706,3.6505,23.7804,23.7804,26.2836,37.7566,28.8911,32.7502,50.3769,55.8005,30.9771
Barking and Dagenham 006A,43.9103,36.505,15.1235,19.5041,13.0375,20.0256,34.1061,45.2662,40.8856,21.5901,26.3879,29.6212,4.0677,24.9277,24.9277,27.5352,39.0082,30.0384,34.0018,52.0457,57.4693,32.2287
Barking and Dagenham 006B,44.5361,35.1491,14.2891,18.1482,11.6816,19.1912,33.376,44.4318,39.5297,20.86,25.032,28.2653,4.0677,23.5718,23.5718,26.075,37.548,28.6825,32.5416,40.2598,56.6349,30.7685
Barking and Dagenham 006C,45.0576,35.8792,14.4977,18.8783,12.4117,19.3998,33.4803,44.5361,40.2598,20.9643,25.7621,28.9954,2.8161,24.3019,24.3019,26.8051,38.2781,29.4126,33.2717,51.4199,56.7392,31.4986
Barking and Dagenham 006D,44.5361,35.6706,14.9149,18.6697,12.2031,19.817,33.8975,44.9533,40.0512,21.3815,25.5535,28.7868,3.8591,24.0933,24.0933,26.5965,38.0695,29.0997,33.0631,51.8371,57.1564,31.29
Barking and Dagenham 006E,44.2232,35.3577,14.9149,18.3568,11.8902,19.817,33.8975,45.0576,39.7383,21.3815,25.2406,28.4739,3.8591,23.7804,23.7804,26.2836,37.7566,28.7868,32.7502,40.4684,57.2607,30.9771
Barking and Dagenham 007A,44.3275,34.0018,14.602,17.0009,10.5343,18.9826,33.5846,44.6404,38.3824,21.0686,23.8847,27.118,4.2763,22.4245,22.4245,24.9277,36.4007,27.5352,31.3943,39.1125,56.8435,29.6212
Barking and Dagenham 007B,46.1006,33.1674,16.1665,16.1665,9.6999,18.2525,35.8792,46.935,37.548,23.3632,23.0503,26.2836,5.0064,21.5901,21.5901,24.1976,35.5663,26.7008,30.6642,38.2781,50.3769,28.7868
Barking and Dagenham 007C,45.9963,33.0631,16.0622,16.0622,9.5956,18.0439,35.7749,46.8307,37.4437,23.2589,22.946,26.1793,5.6322,21.4858,21.4858,23.989,35.462,26.5965,30.4556,38.1738,50.2726,28.6825
Barking and Dagenham 007D,43.4931,33.7932,16.7923,16.7923,10.3257,18.774,34.419,45.4748,38.1738,21.903,23.6761,26.9094,5.1107,22.2159,22.2159,24.7191,36.1921,27.3266,31.1857,38.9039,51.0027,29.4126
Barking and Dagenham 007E,44.4318,34.1061,14.7063,17.1052,10.6386,19.0869,33.6889,44.849,38.4867,21.1729,23.989,27.2223,4.3806,22.5288,22.5288,25.032,36.505,27.6395,31.4986,39.2168,57.0521,29.7255
Barking and Dagenham 007F,46.4135,33.4803,14.1848,16.4794,10.0128,18.4611,34.0018,45.0576,37.8609,21.4858,23.2589,26.4922,5.4236,21.903,21.7987,24.4062,35.8792,26.9094,30.8728,38.4867,57.2607,29.0997
Barking and Dagenham 007G,46.7264,33.7932,16.7923,16.7923,10.3257,18.774,36.505,47.5608,38.1738,23.989,23.6761,26.9094,4.9021,22.2159,22.2159,24.7191,36.1921,27.3266,31.1857,38.9039,51.0027,29.4126
Barking and Dagenham 008A,45.9963,33.0631,13.4547,16.0622,9.5956,18.1482,33.2717,44.3275,37.4437,20.7557,22.946,26.1793,5.8408,21.4858,21.4858,23.989,35.462,26.5965,30.4556,38.1738,56.5306,28.6825
Barking and Dagenham 008B,46.2049,33.2717,13.6633,16.2708,9.8042,18.3568,33.4803,44.5361,37.6523,20.9643,23.1546,26.3879,6.1537,21.6944,21.6944,24.3019,35.6706,26.8051,30.7685,38.3824,56.7392,28.8911
Barking and Dagenham 008C,45.4748,32.5416,12.7246,15.5407,9.0741,17.6267,32.4373,43.5974,36.9222,19.9213,22.4245,25.6578,6.8838,20.9643,20.9643,23.5718,34.9405,26.075,30.0384,37.6523,55.8005,28.161
Barking and Dagenham 008D,45.9963,33.0631,13.4547,16.0622,9.5956,18.0439,33.1674,44.3275,37.4437,20.6514,22.946,26.1793,5.8408,21.4858,21.4858,23.989,35.462,26.5965,30.4556,38.1738,56.5306,28.6825
Barking and Dagenham 008E,45.4748,32.5416,13.559,15.5407,9.0741,17.5224,33.376,44.4318,36.9222,20.86,22.4245,25.6578,6.3623,20.9643,20.9643,23.4675,34.9405,25.9707,29.9341,37.548,56.6349,28.161
Barking and Dagenham 008F,45.9963,33.0631,15.9579,16.0622,9.5956,18.0439,35.7749,46.8307,37.4437,23.2589,22.8417,26.075,5.5279,21.4858,21.4858,23.989,35.462,26.4922,30.4556,38.0695,50.2726,28.6825
Barking and Dagenham 009A,42.8673,35.1491,16.2708,18.1482,11.6816,20.2342,35.2534,46.4135,39.634,22.7374,25.032,28.2653,5.6322,23.5718,23.5718,26.1793,37.6523,28.6825,32.6459,40.2598,58.6166,30.8728
Barking and Dagenham 009B,43.5974,34.8362,15.1235,17.8353,11.3687,19.817,34.1061,45.2662,39.2168,21.5901,24.7191,27.9524,4.3806,23.2589,23.2589,25.7621,37.2351,28.3696,32.2287,39.9469,57.4693,30.4556
Barking and Dagenham 009C,43.0759,34.6276,14.9149,17.6267,11.1601,19.7127,34.0018,45.0576,39.0082,21.4858,24.5105,27.7438,4.6935,23.0503,23.0503,25.6578,37.1308,28.161,32.1244,39.7383,57.2607,30.3513
Barking and Dagenham 009D,42.8673,35.2534,15.645,18.2525,11.7859,20.2342,34.7319,45.7877,39.634,22.2159,25.1363,28.3696,5.4236,23.6761,23.6761,26.1793,37.6523,28.7868,32.6459,40.3641,57.9908,30.8728
Barking and Dagenham 009E,42.9716,34.1061,17.1052,17.1052,10.6386,19.1912,34.6276,45.6834,38.4867,22.1116,23.989,27.2223,5.3193,22.5288,22.5288,25.1363,36.505,27.6395,31.6029,39.2168,51.3156,29.7255
Barking and Dagenham 010A,42.9716,36.505,15.5407,19.5041,13.0375,20.4428,34.5233,45.5791,40.9899,22.0073,26.3879,29.6212,4.4849,24.9277,24.9277,27.5352,39.0082,30.0384,34.0018,41.6157,57.7822,32.2287
Barking and Dagenham 010B,42.763,36.2964,16.0622,19.2955,12.8289,20.9643,35.0448,46.2049,40.677,22.5288,26.1793,29.4126,5.0064,24.7191,24.7191,27.3266,38.6953,29.8298,33.7932,41.4071,58.408,31.9158
Barking and Dagenham 010C,42.5544,36.0878,17.0009,19.0869,12.6203,21.1729,35.9835,47.0393,40.5727,23.4675,25.9707,29.204,5.9451,24.6148,24.5105,27.118,38.591,29.6212,33.5846,41.1985,59.2424,31.8115
Barking and Dagenham 010D,42.2415,35.7749,16.2708,18.774,12.3074,20.86,35.2534,46.3092,40.1555,22.7374,25.6578,28.8911,5.215,24.1976,24.1976,26.8051,38.2781,29.3083,33.2717,40.8856,58.6166,31.4986
Barking and Dagenham 011A,46.7264,32.6459,12.6203,15.645,9.1784,17.5224,32.333,43.3888,37.0265,19.817,22.5288,25.7621,7.4053,21.0686,21.0686,23.5718,35.0448,26.075,30.0384,37.7566,55.5919,28.2653
Barking and Dagenham 011B,46.1006,32.1244,11.9945,15.1235,8.6569,16.8966,31.8115,42.8673,36.505,19.2955,22.0073,25.1363,7.5096,20.5471,20.5471,23.0503,34.5233,25.5535,29.5169,37.1308,55.0704,27.7438
Barking and Dagenham 011C,44.849,31.8115,11.9945,14.8106,8.344,16.8966,31.7072,42.8673,36.2964,19.1912,21.6944,24.9277,8.7612,20.3385,20.2342,22.8417,34.3147,25.3449,29.3083,36.9222,55.0704,27.5352
Barking and Dagenham 011D,45.2662,31.29,11.2644,14.2891,7.8225,16.1665,30.9771,42.1372,35.6706,18.4611,21.1729,24.4062,8.2397,19.7127,19.7127,22.3202,33.6889,24.8234,28.7868,36.4007,54.3403,26.9094
Barking and Dagenham 011E,44.7447,31.7072,12.0988,14.8106,8.344,16.7923,31.8115,42.9716,36.1921,19.2955,21.5901,24.8234,8.8655,20.2342,20.1299,22.7374,34.2104,25.2406,29.204,36.8179,55.1747,27.4309
Barking and Dagenham 012A,42.763,32.0201,15.0192,15.0192,8.5526,17.0009,34.7319,45.7877,36.4007,22.2159,21.903,25.1363,6.9881,20.4428,20.4428,22.946,34.419,25.5535,29.4126,37.1308,49.2296,27.6395
Barking and Dagenham 012B,45.0576,32.1244,15.1235,15.1235,8.6569,17.1052,34.8362,45.892,36.505,22.3202,22.0073,25.2406,6.6752,20.5471,20.5471,23.0503,34.5233,25.6578,29.5169,37.2351,49.3339,27.7438
Barking and Dagenham 012C,45.0576,32.1244,15.1235,15.1235,8.6569,17.2095,34.8362,45.892,36.505,22.3202,22.0073,25.2406,6.258,20.5471,20.5471,23.1546,34.5233,25.6578,29.6212,37.2351,49.3339,27.7438
Barking and Dagenham 012D,43.1802,32.333,15.3321,15.3321,8.8655,17.4181,35.0448,46.2049,36.8179,22.5288,22.2159,25.4492,6.5709,20.86,20.7557,23.3632,34.8362,25.8664,29.8298,37.4437,49.5425,28.0567
Barking and Dagenham 012E,45.0576,32.0201,15.0192,15.0192,8.5526,17.1052,34.7319,45.892,36.505,22.2159,21.903,25.1363,6.6752,20.4428,20.4428,23.0503,34.5233,25.5535,29.5169,37.1308,49.2296,27.7438
Barking and Dagenham 013A,42.2415,34.5233,15.645,17.6267,11.1601,19.6084,34.6276,45.7877,39.0082,22.1116,24.4062,27.6395,5.4236,23.0503,22.946,25.5535,37.0265,28.0567,32.0201,39.634,57.9908,30.247
Barking and Dagenham 013B,42.763,34.3147,17.3138,17.3138,10.8472,19.3998,35.1491,46.2049,38.7996,22.6331,24.1976,27.4309,5.8408,22.8417,22.7374,25.3449,36.8179,27.8481,31.8115,39.4254,58.408,30.0384
Barking and Dagenham 013C,42.2415,33.1674,16.1665,16.1665,9.6999,18.2525,35.8792,47.0393,37.6523,23.3632,23.0503,26.2836,6.4666,21.5901,21.5901,24.1976,35.6706,26.7008,30.6642,38.2781,50.3769,28.8911
Barking and Dagenham 013D,41.9286,34.3147,17.2095,17.3138,10.8472,19.2955,37.0265,48.0823,38.6953,24.5105,24.1976,27.4309,5.7365,22.7374,22.7374,25.2406,36.7136,27.7438,31.7072,39.4254,51.5242,29.9341
Barking and Dagenham 013E,41.8243,34.1061,17.1052,17.1052,10.6386,19.1912,36.8179,47.978,38.591,24.3019,23.989,27.2223,5.9451,22.6331,22.5288,25.1363,36.6093,27.6395,31.6029,39.2168,51.3156,29.8298
Barking and Dagenham 013F,41.5114,33.7932,16.7923,16.7923,10.3257,18.8783,36.505,47.6651,38.2781,23.989,23.6761,26.9094,6.1537,22.3202,22.2159,24.8234,36.2964,27.3266,31.29,38.9039,51.0027,29.5169
Barking and Dagenham 014A,42.3458,35.8792,17.4181,18.8783,12.4117,20.9643,36.505,47.5608,40.3641,23.989,25.7621,28.9954,6.3623,24.4062,24.3019,26.9094,38.3824,29.4126,33.376,40.9899,59.7639,31.6029
Barking and Dagenham 014B,41.9286,35.462,16.688,18.4611,11.9945,20.4428,35.6706,46.7264,39.8426,23.1546,25.3449,28.5782,5.6322,23.8847,23.8847,26.3879,37.8609,28.8911,32.8545,40.5727,59.0338,31.0814
Barking and Dagenham 014C,42.4501,34.7319,17.731,17.731,11.2644,19.817,37.4437,48.4995,39.1125,24.9277,24.6148,27.8481,6.258,23.1546,23.1546,25.7621,37.2351,28.2653,32.2287,39.8426,51.9414,30.4556
Barking and Dagenham 014D,42.5544,35.3577,18.2525,18.3568,11.8902,20.3385,36.4007,47.4565,39.7383,23.8847,25.2406,28.4739,6.3623,23.7804,23.7804,26.2836,37.7566,28.7868,32.7502,40.4684,52.5672,30.9771
Barking and Dagenham 015A,30.1427,30.0384,10.0128,13.0375,6.5709,14.9149,29.7255,40.7813,34.419,17.2095,19.9213,23.1546,9.8042,18.4611,18.4611,21.0686,32.4373,23.5718,27.5352,35.1491,53.0887,25.6578
Barking and Dagenham 015B,30.247,30.1427,10.0128,13.1418,6.6752,15.0192,29.8298,40.8856,34.5233,17.3138,20.0256,23.2589,9.9085,18.5654,18.5654,21.0686,32.5416,23.5718,27.5352,35.2534,53.0887,25.7621
Barking and Dagenham 015C,30.1427,30.0384,10.0128,13.0375,6.5709,14.9149,29.7255,40.7813,34.419,17.2095,19.9213,23.1546,10.1171,18.4611,18.4611,20.9643,32.4373,23.4675,27.4309,35.1491,52.9844,25.6578
Barking and Dagenham 015D,47.0393,31.1857,9.2827,14.1848,7.7182,14.1848,29.0997,40.1555,35.5663,16.5837,21.0686,32.1244,9.6999,19.6084,19.6084,22.2159,33.6889,24.7191,28.6825,46.935,52.3586,26.9094
Barking and Dagenham 016A,46.935,30.8728,10.8472,13.8719,7.4053,15.7493,30.6642,41.72,35.3577,18.1482,20.7557,23.989,9.5956,19.3998,19.2955,21.903,33.376,24.4062,28.3696,35.9835,53.9231,26.5965
Barking and Dagenham 016B,46.4135,30.3513,10.3257,13.3504,6.8838,15.2278,30.0384,41.0942,34.7319,17.5224,20.2342,23.4675,9.0741,18.774,18.774,21.2772,32.7502,23.8847,27.7438,35.462,53.2973,25.9707
Barking and Dagenham 016C,46.5178,30.6642,9.0741,13.6633,7.1967,13.9762,28.8911,39.9469,35.1491,16.3751,20.5471,31.9158,9.1784,19.0869,19.0869,21.6944,33.1674,24.1976,28.161,46.7264,52.15,26.3879
Barking and Dagenham 016D,44.7447,30.3513,11.3687,13.3504,6.8838,15.4364,31.1857,42.2415,34.7319,18.6697,20.2342,23.4675,9.2827,18.774,18.774,21.3815,32.7502,23.8847,27.8481,35.462,54.4446,25.9707
Barking and Dagenham 016E,45.6834,31.0814,11.0558,14.0805,7.6139,15.9579,30.7685,41.9286,35.462,18.2525,20.9643,24.1976,8.8655,19.5041,19.5041,22.1116,33.4803,24.6148,28.5782,36.1921,54.1317,26.7008
Barking and Dagenham 017A,44.1189,31.1857,14.1848,14.1848,7.7182,16.1665,33.8975,44.9533,35.5663,21.3815,21.0686,24.3019,7.5096,19.6084,19.6084,22.1116,33.5846,24.6148,28.5782,36.2964,48.3952,26.8051
Barking and Dagenham 017B,44.3275,31.29,12.2031,14.2891,7.8225,16.3751,32.0201,43.0759,35.7749,19.5041,21.1729,24.4062,8.7612,19.7127,19.7127,22.3202,33.7932,24.8234,28.7868,36.4007,55.279,27.0137
Barking and Dagenham 017C,43.4931,30.5599,13.559,13.559,7.0924,15.5407,33.2717,44.3275,34.9405,20.7557,20.4428,23.6761,7.6139,18.9826,18.9826,21.4858,32.9588,24.0933,27.9524,35.6706,47.7694,26.1793
Barking and Dagenham 017D,44.5361,31.6029,14.602,14.602,8.1354,16.688,34.3147,45.3705,35.9835,21.7987,21.4858,24.7191,7.9268,20.0256,20.0256,22.5288,34.0018,25.1363,28.9954,36.7136,48.8124,27.2223
Barking and Dagenham 017E,44.4318,31.4986,14.4977,14.4977,8.0311,16.4794,34.2104,45.2662,35.8792,21.6944,21.3815,24.6148,6.7795,19.9213,19.9213,22.4245,33.8975,24.9277,28.8911,36.6093,48.7081,27.118
Barking and Dagenham 018A,42.763,32.4373,15.3321,15.4364,8.9698,17.4181,35.1491,46.2049,36.8179,22.6331,22.3202,25.4492,7.1967,20.86,20.86,23.3632,34.8362,25.8664,29.8298,37.4437,49.6468,28.0567
Barking and Dagenham 018B,42.4501,32.4373,15.4364,15.4364,8.9698,17.4181,35.1491,46.2049,36.8179,22.6331,22.3202,25.5535,7.1967,20.86,20.86,23.3632,34.8362,25.9707,29.8298,37.548,49.6468,28.0567
Barking and Dagenham 018C,42.8673,32.8545,15.8536,15.8536,9.387,17.9396,35.5663,46.7264,37.3394,23.0503,22.7374,25.9707,7.0924,21.2772,21.2772,23.8847,35.3577,26.3879,30.3513,37.9652,50.064,28.5782
Barking and Dagenham 018D,42.6587,32.6459,15.645,15.645,9.1784,17.731,35.3577,46.4135,37.0265,22.8417,22.5288,25.7621,6.4666,21.0686,21.0686,23.6761,35.1491,26.1793,30.1427,37.7566,49.8554,28.3696
Barking and Dagenham 018E,42.0329,33.1674,16.0622,16.1665,9.6999,18.1482,35.8792,46.935,37.548,23.3632,23.0503,26.2836,8.0311,21.5901,21.5901,24.0933,35.5663,26.5965,30.5599,38.2781,50.3769,28.7868
Barking and Dagenham 019A,44.3275,30.5599,11.5773,13.559,7.0924,15.5407,31.29,42.4501,34.9405,18.774,20.4428,23.6761,8.8655,18.9826,18.9826,21.4858,32.9588,24.0933,27.9524,35.6706,54.6532,26.1793
Barking and Dagenham 019B,44.4318,31.3943,11.8902,14.3934,8.0311,16.4794,31.7072,42.763,35.8792,19.1912,21.2772,24.5105,8.9698,19.9213,19.817,22.4245,33.8975,24.9277,28.8911,36.505,54.9661,27.118
Barking and Dagenham 019C,45.1619,29.9341,10.6386,12.9332,6.4666,14.9149,30.3513,41.5114,34.3147,17.8353,19.7127,22.946,9.5956,18.3568,18.2525,20.86,32.333,23.3632,27.3266,34.9405,53.7145,25.5535
Barking and Dagenham 019D,45.2662,29.8298,11.473,12.8289,6.3623,14.8106,31.1857,42.3458,34.2104,18.6697,19.7127,22.946,9.8042,18.2525,18.2525,20.7557,32.2287,23.3632,27.2223,34.9405,54.5489,25.4492
Barking and Dagenham 019E,45.6834,30.1427,13.0375,13.1418,6.6752,15.1235,32.8545,43.9103,34.5233,20.3385,20.0256,23.1546,10.2214,18.5654,18.5654,21.0686,32.5416,23.5718,27.5352,35.1491,47.3522,25.7621
Barking and Dagenham 020A,41.5114,33.8975,16.7923,16.8966,10.43,18.8783,36.6093,47.6651,38.2781,24.0933,23.7804,26.9094,6.7795,22.3202,22.3202,24.8234,36.2964,27.3266,31.29,38.9039,51.107,29.5169
Barking and Dagenham 020B,40.7813,34.1061,17.1052,17.1052,10.6386,19.1912,36.8179,47.978,38.591,24.3019,23.989,27.2223,7.4053,22.6331,22.5288,25.1363,36.6093,27.6395,31.6029,39.2168,51.3156,29.8298
Barking and Dagenham 020C,40.8856,34.419,17.4181,17.5224,11.0558,19.5041,37.2351,48.2909,38.9039,24.7191,24.3019,27.5352,6.6752,22.946,22.8417,25.4492,36.9222,27.9524,31.9158,39.5297,51.6285,30.1427
Barking and Dagenham 020D,40.7813,34.3147,17.3138,17.3138,10.8472,19.2955,37.0265,48.0823,38.6953,24.5105,24.1976,27.4309,6.9881,22.7374,22.7374,25.2406,36.7136,27.8481,31.7072,39.4254,51.5242,29.9341
Barking and Dagenham 020E,40.0512,35.8792,18.8783,18.9826,12.516,20.9643,38.6953,49.7511,40.3641,26.1793,25.7621,28.9954,9.2827,24.4062,24.3019,26.9094,38.3824,29.4126,33.376,40.9899,53.0887,31.6029
Barking and Dagenham 021B,45.4748,30.0384,10.9515,13.0375,6.5709,15.8536,30.6642,41.72,34.5233,18.1482,19.9213,23.1546,10.0128,18.4611,18.4611,21.0686,32.5416,23.5718,27.5352,35.1491,53.9231,25.7621
Barking and Dagenham 021C,45.3705,30.0384,11.0558,13.0375,6.5709,15.0192,30.7685,41.9286,34.419,18.2525,19.9213,23.0503,10.0128,18.4611,18.4611,20.9643,32.4373,23.4675,27.4309,35.0448,54.1317,25.6578
Barking and Dagenham 021D,45.2662,29.6212,10.43,12.6203,6.1537,15.3321,30.247,41.3028,34.0018,17.731,19.5041,22.7374,9.8042,18.0439,18.0439,20.5471,32.0201,23.1546,27.0137,34.7319,53.5059,25.2406
Barking and Dagenham 021E,29.5169,29.3083,10.2214,12.3074,5.8408,15.1235,29.9341,40.9899,33.7932,17.4181,19.1912,22.4245,10.43,17.731,17.731,20.3385,31.8115,22.8417,26.8051,34.419,53.193,25.032
Barking and Dagenham 021F,29.6212,29.4126,10.3257,12.516,6.0494,15.2278,30.0384,41.0942,33.8975,17.5224,19.2955,22.5288,10.5343,17.9396,17.8353,20.4428,31.9158,22.946,26.9094,34.5233,53.2973,25.1363
Barking and Dagenham 022A,44.849,30.4556,13.3504,13.4547,6.9881,15.4364,33.1674,44.2232,34.8362,20.6514,20.2342,23.4675,9.8042,18.8783,18.774,21.3815,32.8545,23.8847,27.8481,35.462,47.6651,26.075
Barking and Dagenham 022B,45.6834,30.1427,13.1418,13.1418,6.6752,15.2278,32.8545,44.0146,34.6276,20.3385,20.0256,23.2589,10.3257,18.6697,18.5654,21.1729,32.6459,23.6761,27.6395,35.2534,47.3522,25.8664
Barking and Dagenham 022C,44.6404,31.9158,14.8106,14.9149,8.4483,16.8966,34.6276,45.6834,36.2964,22.1116,21.7987,25.032,9.5956,20.3385,20.3385,22.8417,34.3147,25.3449,29.3083,37.0265,49.1253,27.5352
Barking and Dagenham 022D,45.4748,31.1857,14.1848,14.1848,7.7182,16.1665,33.8975,44.9533,35.5663,21.3815,21.0686,24.3019,10.43,19.6084,19.6084,22.1116,33.5846,24.7191,28.5782,36.2964,48.3952,26.8051
Barking and Dagenham 023A,46.6221,33.6889,14.0805,16.688,10.2214,18.6697,33.7932,44.9533,38.0695,21.2772,23.5718,26.8051,5.4236,22.1116,22.1116,24.6148,36.0878,27.2223,31.0814,38.7996,57.1564,29.3083
Barking and Dagenham 023B,47.2479,34.3147,14.3934,17.3138,10.8472,19.2955,34.1061,45.1619,38.6953,21.5901,24.0933,27.3266,5.4236,22.7374,22.6331,25.2406,36.7136,27.7438,31.7072,39.3211,57.365,29.9341
Barking and Dagenham 023C,47.6651,34.6276,13.7676,17.6267,11.1601,18.6697,32.7502,43.9103,39.1125,20.2342,24.5105,27.7438,4.9021,23.1546,23.0503,25.6578,37.1308,28.161,32.1244,39.7383,56.1134,30.3513
Barking and Dagenham 023D,47.5608,34.6276,11.7859,17.6267,11.1601,16.688,31.6029,42.6587,39.0082,19.0869,24.5105,27.7438,4.9021,23.0503,23.0503,25.5535,37.0265,28.0567,32.0201,39.7383,54.8618,30.247
Barking and Dagenham 023E,47.5608,34.6276,14.0805,17.6267,11.1601,19.7127,33.0631,44.1189,39.0082,20.5471,24.5105,27.7438,4.4849,23.0503,23.0503,25.5535,37.0265,28.161,32.0201,39.7383,56.4263,30.247
Barking and Dagenham 023F,47.7694,34.7319,11.7859,17.8353,11.3687,16.688,31.6029,42.6587,39.2168,19.0869,24.6148,27.8481,5.0064,23.2589,23.1546,25.7621,37.2351,28.2653,32.2287,39.8426,54.8618,30.4556
Barnet 001A,88.1335,39.634,21.2772,30.0384,33.6889,20.86,1.043,15.645,37.3394,12.8289,23.3632,18.8783,54.7575,36.8179,26.3879,30.6642,42.2415,27.8481,36.6093,31.29,49.1253,31.8115
Barnet 001B,88.9679,39.1125,21.903,29.5169,34.3147,21.4858,0.6258,15.1235,36.8179,13.4547,22.8417,18.3568,55.5919,36.2964,25.8664,30.1427,41.72,27.3266,36.0878,30.7685,49.9597,31.29
Barnet 001C,88.4464,40.1555,21.0686,30.5599,33.4803,20.6514,1.5645,16.1665,37.8609,12.7246,23.8847,19.3998,55.0704,41.72,26.9094,31.1857,42.763,28.3696,37.1308,31.8115,49.4382,32.333
